internal_name,czech,english,french,spanish
"add","Přidat","Add","Ajouter","Añadir"
"app_settings","Nastavení aplikace","Application settings","Paramètres de l'application","Configuración de la aplicación"
"aspect_conjunction","Konjunkce","Conjunction","Conjonction","Conjunción"
"aspect_opposition","Opozice","Opposition","Opposition","Oposición"
"aspect_quincunx","Kvinkunx","Quincunx","Quincunx","Quincuncio"
"aspect_sextile","Sextil","Sextile","Sextil","Sextil"
"aspect_square","Kvadratura","Square","Carré","Cuadratura"
"aspect_trine","Trigon","Trine","Trine","Trino"
"aspectarium_footer_note","Čisté aspektarium bez aspektových čar","Aspect grid without aspect lines","Grille sans lignes d'aspects","Cuadrícula sin líneas de aspectos"
"aspectarium_subtitle","Základní uspořádání planet a bodů","Layout of planets and points","Disposition des planètes et points","Disposición de planetas y puntos"
"aspects","Zobrazení Aspektária","Aspects","Aspects","Aspectos"
"aspects_aspects","Aspektárium","Aspects","Aspects","Aspectos"
"aspects_table_area","Tabulka aspektů","Aspects table area","Table des aspects","Tabla de aspectos"
"astrolabe","Astroláb","Astrolabe","Astrolabe","Astrolabio"
"astrolabe_unit_day","den","day","jour","día"
"astrolabe_unit_hr","h","h","h","h"
"astrolabe_unit_min","min","min","min","min"
"astrolabe_unit_month","měsíc","month","mois","mes"
"astrolabe_unit_sec","s","s","s","s"
"astrolabe_unit_yr","rok","year","an","año"
"button_close","Zavřít","Close","Fermer","Cerrar"
"button_ok","OK","OK","OK","OK"
"button_open_chart","Otevřít horoskop","Open chart","Ouvrir le thème","Abrir carta"
"button_search","Hledat","Search","Rechercher","Buscar"
"calculate","Vypočítat","Calculate","Calculer","Calcular"
"cancel","Zrušit","Cancel","Annuler","Cancelar"
"charts","Horoskopy","Charts","Thèmes","Cartas"
"clear","Vymazat","Clear","Effacer","Limpiar"
"column_bodies","Tělesa","Bodies","Corps","Cuerpos"
"column_time","Čas","Time","Heure","Hora"
"confirm","Potvrdit","Confirm","Confirmer","Confirmar"
"context_label","Kontext","Context","Contexte","Contexto"
"current","Aktuální horoskop","Current","Actuel","Actual"
"current_info","Info","Info","Infos","Info"
